,L1,L2
1993-10-14,3.681573456751988e-07,7.827949232555136e-06
1993-10-15,4.818356708310407e-07,9.421055351588232e-06
1993-10-18,4.763084857718098e-07,9.385214393478284e-06
1993-10-19,4.025826036079796e-07,8.643989876796271e-06
1993-10-20,4.5448600817214617e-07,9.052194926834408e-06
1993-10-21,6.177214169553562e-07,1.1925723808148783e-05
1993-10-22,6.226299553980962e-07,1.1935593237487446e-05
1993-10-25,5.933230119270899e-07,1.175325806713649e-05
1993-10-26,7.715874642956441e-07,1.3765472208289865e-05
1993-10-27,7.547174588089832e-07,1.36847222127041e-05
1993-10-28,1.4887095654857858e-06,2.6259309171828073e-05
1993-10-29,1.4887095654857858e-06,2.6259309171828073e-05
1993-11-01,1.411671996372583e-06,2.6007317020197003e-05
1993-11-02,1.5575525586237447e-06,2.689043682298272e-05
1993-11-03,1.5575525586237447e-06,2.689043682298272e-05
1993-11-04,1.960847479518516e-06,3.380506251936176e-05
1993-11-05,2.2829179965855245e-06,3.623804520358221e-05
1993-11-08,2.2748801526133302e-06,3.624097959234232e-05
1993-11-09,2.4773927797499333e-06,3.717078986035877e-05
1993-11-10,2.852514106046693e-06,3.985697017833369e-05
1993-11-11,2.877014653953306e-06,3.988259962182274e-05
1993-11-12,2.8454191124681998e-06,3.9818152672056736e-05
1993-11-15,3.132731197986376e-06,4.348898194747959e-05
1993-11-16,3.132731197986376e-06,4.348898194747959e-05
1993-11-17,3.1347253007407715e-06,4.349072180135567e-05
1993-11-18,3.0875942500682183e-06,4.341312284196445e-05
1993-11-19,3.0875942500682183e-06,4.341312284196445e-05
1993-11-22,3.1066110810108334e-06,4.3435785047821204e-05
1993-11-23,4.314540496509887e-06,5.178295056408234e-05
1993-11-24,4.598420978261129e-06,5.339291585076964e-05
1993-11-26,4.623426516157585e-06,5.3450788514571784e-05
1993-11-29,4.812650243423378e-06,5.604060683240829e-05
1993-11-30,4.806714144198116e-06,5.60379962484287e-05
1993-12-01,3.7106621531647705e-06,4.8736923279276914e-05
1993-12-02,3.816604676229952e-06,4.897021534215442e-05
1993-12-03,3.5501907807072525e-06,4.784663086992012e-05
1993-12-06,2.0910175540532986e-06,3.155450251306359e-05
1993-12-07,8.734261248458932e-07,1.7002896265558333e-05
