,L1,L2
2019-03-05,3.994821992845559e-06,4.497646769804796e-05
2019-03-06,4.316274637695795e-06,4.615141804793999e-05
2019-03-07,4.3214294752976695e-06,4.617504445872917e-05
2019-03-08,3.9734126847437676e-06,4.381282009899298e-05
2019-03-11,3.8830345923074205e-06,4.286684028556213e-05
2019-03-12,3.884775286957956e-06,4.286773253655952e-05
2019-03-13,3.827537439302797e-06,4.2760469637759485e-05
2019-03-14,3.5018222071983496e-06,4.0611498241721536e-05
2019-03-15,3.5157808391729344e-06,4.0624494984802443e-05
2019-03-18,3.4797460689311583e-06,4.059070037237714e-05
2019-03-19,3.4747034678887603e-06,4.0668358424222964e-05
2019-03-20,3.4868068541328485e-06,4.0679259786614334e-05
